world,g,win,win_lo,win_hi,n
network,0.500000,0.094097,0.028125,0.154861,24
network,0.750000,0.151389,0.101389,0.196528,24
network,1.000000,0.147569,0.115972,0.175347,24
network,1.500000,0.108333,0.090972,0.125694,24
network,2.000000,0.067014,0.054861,0.078819,24
network,3.000000,0.025694,0.017014,0.035764,24
network,4.000000,0.011458,0.006597,0.017361,24
host,0.500000,0.043056,0.004861,0.080903,24
host,0.750000,0.018750,-0.029167,0.067708,24
host,1.000000,0.065972,0.002778,0.130556,24
host,1.500000,0.126389,0.072222,0.180208,24
host,2.000000,0.169792,0.136806,0.201736,24
host,3.000000,0.120486,0.101042,0.139583,24
host,4.000000,0.070833,0.056597,0.085417,24
filesystem,0.500000,0.058333,0.026042,0.089931,24
filesystem,0.750000,-0.007639,-0.048958,0.032986,24
filesystem,1.000000,-0.015972,-0.074653,0.044792,24
filesystem,1.500000,0.068056,0.004861,0.129167,24
filesystem,2.000000,0.130556,0.068750,0.184375,24
filesystem,3.000000,0.142014,0.123958,0.160069,24
filesystem,4.000000,0.104861,0.089236,0.120139,24
