panel,key,driver,rho,n,agree_rate,ci_lo,ci_hi,h_ref,h_sys,detail
meta,platform,darwin,,,,,,,,available=True
tier1,exhaustive,all,,895,0.8324,,,,,residual=0;modeled=254/254
tier1_family,append,,,25,1.0000,,,,,
tier1_family,cat,,,25,1.0000,,,,,
tier1_family,cd,,,31,1.0000,,,,,
tier1_family,chmod,,,56,1.0000,,,,,
tier1_family,cp,,,336,0.6994,,,,,
tier1_family,export,,,8,1.0000,,,,,
tier1_family,ls,,,31,1.0000,,,,,
tier1_family,mkdir,,,39,1.0000,,,,,
tier1_family,mv,,,168,0.7560,,,,,
tier1_family,rm,,,81,0.9012,,,,,
tier1_family,rmdir,,,31,1.0000,,,,,
tier1_family,touch,,,39,1.0000,,,,,
tier1_family,write,,,25,1.0000,,,,,
tier2,driver,structural,,200,1.0000,1.0000,1.0000,,,agree=200
tier2,driver,trivial,,200,1.0000,1.0000,1.0000,,,agree=200
tier2,driver,weighted,,200,0.9750,0.9550,0.9950,,,agree=195;overwrite_policy=2;root_protection=3
tier2,driver,adversarial,,200,0.6300,0.5200,0.7350,,,agree=126;overwrite_policy=1;permission_enforcement=23;root_protection=48;self_subtree=2
tier3,overlay,structural,0.0,,,,,2.0000,2.0000,gap=0.0000
tier3,overlay,structural,0.1,,,,,2.5000,2.5000,gap=0.0000
tier3,overlay,structural,0.25,,,,,2.7500,2.7500,gap=0.0000
tier3,overlay,structural,0.5,,,,,4.0000,4.0000,gap=0.0000
tier3,overlay,structural,0.75,,,,,19.7500,19.7500,gap=0.0000
tier3,overlay,structural,1.0,,,,,24.0000,24.0000,gap=0.0000
