world,rho,mean_h,ceiling,frac_h
filesystem (E1),0.0,0.1000,24.0000,0.0042
filesystem (E1),0.05,1.3000,24.0000,0.0542
filesystem (E1),0.1,1.3000,24.0000,0.0542
filesystem (E1),0.2,1.3000,24.0000,0.0542
filesystem (E1),0.3,1.4000,24.0000,0.0583
filesystem (E1),0.5,1.4000,24.0000,0.0583
filesystem (E1),1.0,24.0000,24.0000,1.0000
network (EN1),0.0,0.9000,24.0000,0.0375
network (EN1),0.05,1.5000,24.0000,0.0625
network (EN1),0.1,1.5000,24.0000,0.0625
network (EN1),0.2,1.5000,24.0000,0.0625
network (EN1),0.3,1.9000,24.0000,0.0792
network (EN1),0.5,3.2000,24.0000,0.1333
network (EN1),1.0,24.0000,24.0000,1.0000
host (EH1),0.0,0.4000,24.0000,0.0167
host (EH1),0.05,1.1000,24.0000,0.0458
host (EH1),0.1,1.1000,24.0000,0.0458
host (EH1),0.2,1.1000,24.0000,0.0458
host (EH1),0.3,1.1000,24.0000,0.0458
host (EH1),0.5,1.2000,24.0000,0.0500
host (EH1),1.0,24.0000,24.0000,1.0000
distributed (ED1),0.0,0.2500,40.0000,0.0063
distributed (ED1),0.25,1.7500,40.0000,0.0437
distributed (ED1),0.5,7.5000,40.0000,0.1875
distributed (ED1),0.75,33.7500,40.0000,0.8438
distributed (ED1),1.0,40.0000,40.0000,1.0000
