kind,col1,col2,col3,col4,col5,col6
horizon,faithful,8,1.000000,1.000000,1.000000,24
horizon,free,8,0.583333,0.375000,0.791667,24
horizon,faithful,14,1.000000,1.000000,1.000000,24
horizon,free,14,0.250000,0.083333,0.416667,24
horizon,faithful,20,1.000000,1.000000,1.000000,24
horizon,free,20,0.083333,0.000000,0.208333,24
horizon,faithful,28,1.000000,1.000000,1.000000,24
horizon,free,28,0.083333,0.000000,0.208333,24
rho,0.0000,0.083333,0.000000,0.208333,0.0000,24
rho,0.1000,0.833333,0.666667,0.958333,2.0000,24
rho,0.2000,1.000000,1.000000,1.000000,4.0000,24
rho,0.3000,0.958333,0.875000,1.000000,6.0000,24
rho,0.5000,1.000000,1.000000,1.000000,10.0000,24
rho,0.7000,1.000000,1.000000,1.000000,20.0000,24
rho,1.0000,1.000000,1.000000,1.000000,20.0000,24
