planner,k,containment,ci_lo,ci_hi,n
faithful,1,0.800000,0.800000,0.800000,24
free,1,0.800000,0.800000,0.800000,24
reactive,1,0.558333,0.516667,0.600000,24
open_faithful,1,0.558333,0.516667,0.600000,24
open_free,1,0.558333,0.516667,0.600000,24
faithful,3,0.800000,0.800000,0.800000,24
free,3,0.800000,0.800000,0.800000,24
reactive,3,0.558333,0.516667,0.600000,24
open_faithful,3,0.558333,0.516667,0.600000,24
open_free,3,0.558333,0.516667,0.600000,24
faithful,5,0.800000,0.800000,0.800000,24
free,5,0.800000,0.800000,0.800000,24
reactive,5,0.558333,0.516667,0.600000,24
open_faithful,5,0.558333,0.516667,0.600000,24
open_free,5,0.558333,0.516667,0.600000,24
faithful,8,0.800000,0.800000,0.800000,24
free,8,0.800000,0.800000,0.800000,24
reactive,8,0.558333,0.516667,0.600000,24
open_faithful,8,0.558333,0.516667,0.600000,24
open_free,8,0.558333,0.516667,0.600000,24
